,wellName,MD,CALI,GR,RHOB,NPHI,RACEHM_l10,RACELM_l10,RPCEHM_l10,RPCELM_l10,PHIF,SW,VSH
103,15/9-F-1 A,3441.3,8.5781,28.8634,2.3625,0.1831,0.5749914439774947,0.14761449856202735,1.290328495862117,0.7278989553229667,0.1643,0.2317,0.1576
104,15/9-F-1 A,3441.4,8.5781,29.7221,2.3565,0.1835,0.6039666953688472,0.13700577642909867,1.4429498695778618,0.7550359337677716,0.1677,0.1978,0.1645
105,15/9-F-1 A,3441.5,8.5781,30.0991,2.3572,0.1854,0.6371493654726679,0.1389970140326359,1.4696644636421519,0.7748890586959664,0.1673,0.1934,0.1674
106,15/9-F-1 A,3441.6,8.5782,32.32,2.3596,0.1878,0.6765564423398699,0.14476096077607323,1.415323982699692,0.7924827416989977,0.1659,0.2056,0.1851
107,15/9-F-1 A,3441.7,8.6017,31.2085,2.3619,0.1888,0.6848094680552435,0.14835582644940484,1.294785766953519,0.786765614543788,0.1646,0.2312,0.1763
108,15/9-F-1 A,3441.8,8.6249,30.6125,2.3657,0.1851,0.6398150740607282,0.15130854818201836,1.1398885274830057,0.750346372018922,0.1625,0.2699,0.1715
109,15/9-F-1 A,3441.9,8.5781,31.3554,2.3731,0.1877,0.569748341781275,0.14752174353759692,0.9763453929760831,0.6861176659198962,0.1582,0.3216,0.1774
110,15/9-F-1 A,3442.0,8.5781,31.408,2.3827,0.1896,0.4770054274134943,0.13975318569535308,0.798319101833338,0.5878343903546671,0.1527,0.3907,0.1778
111,15/9-F-1 A,3442.1,8.5781,33.4681,2.3899,0.19399999999999998,0.3848012789620824,0.12859310691870485,0.6223901926286214,0.4819583156579722,0.1486,0.4726,0.1942
112,15/9-F-1 A,3442.2,8.5781,33.9409,2.3908,0.1981,0.33239805854975424,0.12110002997630703,0.5065726742525134,0.3983740861513562,0.1481,0.5288,0.1979
113,15/9-F-1 A,3442.3,8.5781,34.8803,2.3841,0.1995,0.26335196839356567,0.10761692999178413,0.3296825692970997,0.3036927271951178,0.1519,0.6134,0.2054
114,15/9-F-1 A,3442.4,8.5781,35.3113,2.3729,0.1985,0.21708895147917184,0.09795107099414996,0.1665485147387552,0.22136206720357055,0.1583,0.6931,0.2088
115,15/9-F-1 A,3442.5,8.5781,35.1101,2.3611,0.1967,0.17626494211414614,0.08479069140790527,0.026083620800987348,0.14360803483759582,0.1651,0.7657,0.2072
116,15/9-F-1 A,3442.6,8.5781,36.0089,2.3506,0.195,0.1286899935854543,0.06881642992221984,-0.01605814101611181,0.11869450789783784,0.1711,0.7764,0.2143
117,15/9-F-1 A,3442.7,8.5781,37.1036,2.3417,0.1934,0.09947345601416868,0.045792232729559144,0.03666881030009679,0.12090281761452719,0.1762,0.7236,0.223
118,15/9-F-1 A,3442.8,8.5781,36.9128,2.3345,0.1917,0.07747691950434232,0.020568434801362646,0.10646288379612115,0.1275259245876942,0.1803,0.6654,0.2216
119,15/9-F-1 A,3442.9,8.5781,35.6688,2.3299,0.1912,0.06952010083522626,-0.004759798137184567,0.15286905421701255,0.12388429346000772,0.1829,0.6285,0.2116
120,15/9-F-1 A,3443.0,8.5781,36.111,2.3286,0.1925,0.04898530257071102,-0.02040610415106964,0.14198251555280392,0.10088725485359344,0.1837,0.6333,0.2152
121,15/9-F-1 A,3443.1,8.5625,35.0268,2.3298,0.1971,0.019324037153690705,-0.03824678581321744,0.08163530150295085,0.05396150731450001,0.183,0.6709,0.2066
122,15/9-F-1 A,3443.2,8.5471,33.5032,2.3323,0.201,-0.014618439768003075,-0.05492551152127,-0.015832872853011857,-0.002919564528269182,0.1815,0.7378,0.1945
123,15/9-F-1 A,3443.3,8.6017,33.8899,2.3358,0.2007,-0.04258428527733102,-0.06894915322260889,-0.10835105612944089,-0.04764352267620927,0.1795,0.8124,0.1975
124,15/9-F-1 A,3443.4,8.6249,34.676,2.3396,0.2054,-0.08024221949810581,-0.08820340956274787,-0.15384852347118452,-0.08071265949561736,0.1774,0.8572,0.2038
125,15/9-F-1 A,3443.5,8.5781,35.5516,2.3419,0.212,-0.13596381727422502,-0.11480845939315207,-0.15577141869837205,-0.10668218838388811,0.1761,0.8649,0.2107
126,15/9-F-1 A,3443.6,8.5781,37.3643,2.3409999999999997,0.2141,-0.18448866263723582,-0.15415809257824264,-0.18006143064460461,-0.15664262156204442,0.1766,0.8857,0.2251
127,15/9-F-1 A,3443.7,8.5781,37.2863,2.3366,0.2156,-0.199489123105632,-0.17108243838331408,-0.20586064423222603,-0.19463509253355465,0.1791,0.8974,0.2245
128,15/9-F-1 A,3443.8,8.5781,36.5621,2.3304,0.2163,-0.21638223480925126,-0.18236853280948462,-0.21903497039168304,-0.21467016498923297,0.1826,0.8938,0.2188
