wellName,MD,BS,CALI,DT,DTS,GR,NPHI,RACEHM,RACELM,RHOB,RPCEHM,RPCELM,PHIF,SW,VSH
15/9-F-11 B,4473.1,8.5,8.75,,,31.161,0.162,21.204,5.584001,2.773,3.804,6.385,0.02,1,0.228
15/9-F-11 B,4473.2,8.5,8.703,,,31.703,0.157,23.099,5.528,2.777,4.009,6.58,0.02,1,0.232
15/9-F-11 B,4473.3,8.5,8.703,,,30.844,0.15,26.399,5.675,2.775,4.201,6.929,0.02,1,0.225
15/9-F-11 B,4473.4,8.5,8.734,,,29.305,0.144,26.748,5.453,2.77,4.775,7.223,0.02,1,0.211
15/9-F-11 B,4473.5,8.5,8.734,,,27.682,0.136,27.996,5.441,2.762,4.651,7.737,0.02,1,0.197
15/9-F-11 B,4473.6,8.5,8.75,,,27.483,0.132,25.676,5.502,2.751,4.47,7.188,0.02,1,0.196
15/9-F-11 B,4473.7,8.5,8.75,,,27.061,0.129,30.578,5.427,2.739,4.661,7.501,0.02,1,0.192
15/9-F-11 B,4473.8,8.5,8.781,,,24.6,0.123,35.627,5.282,2.728,5.066,7.907,0.02,1,0.17
15/9-F-11 B,4473.9,8.5,8.75,,,23.821,0.121,36.022,5.135,2.723,5.652,8.299,0.02,1,0.164
15/9-F-11 B,4474,8.5,8.703,,,22.725,0.121,38.517,5.187,2.727,6.3,9.318,0.02,1,0.154
15/9-F-11 B,4474.1,8.5,8.75,,,21.012,0.116,42.357,5.101,2.742,6.788,9.443,0.02,1,0.139
15/9-F-11 B,4474.2,8.5,8.771,,,20.494,0.111,51.936,5.033999,2.764,7.445,10.175,0.02,1,0.135
15/9-F-11 B,4474.3,8.5,8.75,,,21.705,0.11,91.01101,4.954,2.784,7.647,10.23,0.02,1,0.145
15/9-F-11 B,4474.4,8.5,8.75,,,23.152,0.106,3215.824,4.946,2.794,8.342,11.883,0.02,1,0.158
15/9-F-11 B,4474.5,8.5,8.75,,,23.139,0.103,63.476,4.754,2.789,8.528,10.789,0.02,1,0.158
15/9-F-11 B,4474.6,8.5,8.75,,,20.92,0.1,29.067,4.601,2.775,10.094,11.028,0.02,1,0.138
15/9-F-11 B,4474.7,8.5,8.75,,,20.987,0.098,28.384,4.507,2.76,10.419,10.518,0.02,1,0.139
15/9-F-11 B,4474.8,8.5,8.75,,,21.094,0.095,30.87,4.336,2.746,11.061,10.928,0.02,1,0.14
15/9-F-11 B,4474.9,8.5,8.75,,,22.498,0.094,20.603,4.062,2.727,14.865,12.129,0.02,1,0.152
15/9-F-11 B,4475,8.5,8.75,,,23.217,0.094,14.683,3.849,2.699,28.442,13.843,0.02,1,0.158
15/9-F-11 B,4475.1,8.5,8.75,,,24.921,0.098,11.606,3.689,2.678,31.436,14.005,0.02,1,0.173
15/9-F-11 B,4475.2,8.5,8.703,,,26.317,0.108,10.057,3.548,2.688,28.886,12.259,0.02,1,0.185
15/9-F-11 B,4475.3,8.5,8.682,,,29.47,0.121,8.417,3.49,2.739,22.104,10.715,0.02,1,0.213
15/9-F-11 B,4475.4,8.5,8.703,,,36.116,0.133,7.895,3.49,2.811,16.305,8.732,0.02,1,0.27
15/9-F-11 B,4475.5,8.5,8.703,,,42.107,0.154,6.33,3.444,2.878,9.004,6.441,0.02,1,0.322
