,Unnamed: 0,wellName,MD,SW,PredictedSw,VSH,PredictedVSH,PHIF,PredictedPHIF
7498,26228,15/9-F-11 B,4582.4,0.485,0.46621093,0.047,0.04147141,0.215,0.21139757
7499,26229,15/9-F-11 B,4582.5,0.485,0.46809158,0.047,0.042463776,0.214,0.21008998
7500,26230,15/9-F-11 B,4582.6,0.485,0.46849403,0.048,0.042714316,0.214,0.20975584
7501,26231,15/9-F-11 B,4582.7,0.484,0.46345875,0.045,0.039968457,0.214,0.21070927
7502,26232,15/9-F-11 B,4582.8,0.482,0.4651579,0.046,0.041602034,0.215,0.21015418
7503,26233,15/9-F-11 B,4582.9,0.483,0.46660534,0.049,0.04335736,0.215,0.20967625
7504,26234,15/9-F-11 B,4583.0,0.483,0.4680201,0.05,0.044289503,0.215,0.20976281
7505,26235,15/9-F-11 B,4583.1,0.483,0.46650568,0.049,0.043426942,0.214,0.21010093
7506,26236,15/9-F-11 B,4583.2,0.479,0.45415476,0.041,0.03525046,0.213,0.21278508
7507,26237,15/9-F-11 B,4583.3,0.477,0.45085183,0.04,0.03418413,0.212,0.21244134
7508,26238,15/9-F-11 B,4583.4,0.48,0.44904134,0.037000000000000005,0.029764835,0.211,0.21379106
7509,26239,15/9-F-11 B,4583.5,0.484,0.45698032,0.043,0.038064014,0.212,0.2115886
7510,26240,15/9-F-11 B,4583.6,0.488,0.46747854,0.047,0.042053003,0.209,0.20892692
7511,26241,15/9-F-11 B,4583.7,0.488,0.45809844,0.041,0.035309482,0.209,0.21120594
7512,26242,15/9-F-11 B,4583.8,0.489,0.45918205,0.038,0.032704953,0.208,0.21101172
7513,26243,15/9-F-11 B,4583.9,0.487,0.46082786,0.039,0.03427581,0.208,0.21046323
7514,26244,15/9-F-11 B,4584.0,0.481,0.45319042,0.039,0.033543948,0.211,0.21160486
7515,26245,15/9-F-11 B,4584.1,0.472,0.44808814,0.041,0.035831247,0.214,0.2121964
7516,26246,15/9-F-11 B,4584.2,0.471,0.4459863,0.044,0.037806418,0.21600000000000005,0.21261312
7517,26247,15/9-F-11 B,4584.3,0.475,0.45236817,0.048,0.042091575,0.215,0.21077265
7518,26248,15/9-F-11 B,4584.4,0.478,0.45979986,0.048,0.043345097,0.211,0.20714813
7519,26249,15/9-F-11 B,4584.5,0.484,0.4610212,0.043,0.039778974,0.205,0.2045919
7520,26250,15/9-F-11 B,4584.6,0.486,0.4632497,0.039,0.03632858,0.196,0.19972943
7521,26251,15/9-F-11 B,4584.7,0.488,0.46424976,0.038,0.03609844,0.188,0.19418442
7522,26252,15/9-F-11 B,4584.8,0.483,0.46418515,0.035,0.032603767,0.181,0.19222331
7523,26253,15/9-F-11 B,4584.9,0.508,0.4644859,0.034,0.031886462,0.18,0.19215941
7524,26254,15/9-F-11 B,4585.0,0.501,0.4558355,0.037000000000000005,0.03441709,0.182,0.18941359
7525,26255,15/9-F-11 B,4585.1,0.45,0.43749955,0.041,0.03838585,0.187,0.19191559
7526,26256,15/9-F-11 B,4585.2,0.377,0.39347205,0.045,0.0406824,0.197,0.1945326
7527,26257,15/9-F-11 B,4585.3,0.317,0.34546167,0.037000000000000005,0.029127736,0.206,0.19984661
7528,26258,15/9-F-11 B,4585.4,0.269,0.31205857,0.04,0.030696075,0.212,0.1991775
7529,26259,15/9-F-11 B,4585.5,0.243,0.2889246,0.044,0.03384945,0.217,0.19993521
7530,26260,15/9-F-11 B,4585.6,0.248,0.29349795,0.055,0.043090638,0.219,0.20112179
7531,26261,15/9-F-11 B,4585.7,0.277,0.29744393,0.046,0.035561655,0.219,0.20165287
7532,26262,15/9-F-11 B,4585.8,0.306,0.30833074,0.04,0.029625695,0.218,0.20310633
7533,26263,15/9-F-11 B,4585.9,0.332,0.31435528,0.039,0.029155184,0.217,0.20394666
7534,26264,15/9-F-11 B,4586.0,0.35700000000000004,0.3339294,0.042,0.032601144,0.217,0.20486206
7535,26265,15/9-F-11 B,4586.1,0.35200000000000004,0.31943768,0.038,0.028200094,0.218,0.20552087
7536,26266,15/9-F-11 B,4586.2,0.332,0.31387147,0.042,0.03233585,0.214,0.20069115
7537,26267,15/9-F-11 B,4586.3,0.338,0.326467,0.041,0.03288718,0.204,0.19604568
7538,26268,15/9-F-11 B,4586.4,0.4,0.3795447,0.044,0.040352907,0.185,0.18644205
7539,26269,15/9-F-11 B,4586.5,0.524,0.46533164,0.045,0.046631064,0.156,0.17315894
7540,26270,15/9-F-11 B,4586.6,0.684,0.53383124,0.046,0.054319512,0.122,0.15401924
