,Unnamed: 0,wellName,MD,SW,PredictedSw
188,14216,15/9-F-11 B,3381.2,1.0,0.9020974
189,14217,15/9-F-11 B,3381.3,1.0,0.89899296
190,14218,15/9-F-11 B,3381.4,1.0,0.8971989
191,14219,15/9-F-11 B,3381.5,1.0,0.8977168
192,14220,15/9-F-11 B,3381.6,1.0,0.8996207
193,14221,15/9-F-11 B,3381.7,1.0,0.908801
194,14222,15/9-F-11 B,3381.8,1.0,0.9313444
195,14223,15/9-F-11 B,3381.9,1.0,0.9449448
196,14224,15/9-F-11 B,3382.0,1.0,0.945677
197,14225,15/9-F-11 B,3382.1,1.0,0.9340155
198,14226,15/9-F-11 B,3382.2,1.0,0.9274407
199,14227,15/9-F-11 B,3382.3,1.0,0.911225
200,14228,15/9-F-11 B,3382.4,1.0,0.9181443
201,14229,15/9-F-11 B,3382.5,1.0,0.9187637
202,14230,15/9-F-11 B,3382.6,1.0,0.9414393
203,14231,15/9-F-11 B,3382.7,1.0,0.96077067
204,14232,15/9-F-11 B,3382.8,1.0,0.99167645
205,14233,15/9-F-11 B,3382.9,1.0,1.0124536
206,14256,15/9-F-11 B,3385.2,1.0,1.0021029
207,14257,15/9-F-11 B,3385.3,1.0,1.0008439
208,14258,15/9-F-11 B,3385.4,1.0,0.9878733
209,14259,15/9-F-11 B,3385.5,1.0,0.98077327
210,14260,15/9-F-11 B,3385.6,1.0,0.97641045
211,14261,15/9-F-11 B,3385.7,1.0,0.96444845
212,14262,15/9-F-11 B,3385.8,1.0,0.9703756
213,14263,15/9-F-11 B,3385.9,1.0,0.96919626
214,14264,15/9-F-11 B,3386.0,1.0,0.9863536
215,14265,15/9-F-11 B,3386.1,1.0,0.981134
216,14266,15/9-F-11 B,3386.2,1.0,0.9780957
217,14267,15/9-F-11 B,3386.3,1.0,0.98022336
218,14268,15/9-F-11 B,3386.4,1.0,0.9755764
219,14269,15/9-F-11 B,3386.5,1.0,0.9678878
220,14270,15/9-F-11 B,3386.6,1.0,0.95383126
221,14271,15/9-F-11 B,3386.7,1.0,0.95109624
222,14272,15/9-F-11 B,3386.8,1.0,0.96444637
223,14273,15/9-F-11 B,3386.9,1.0,0.9617315
224,14274,15/9-F-11 B,3387.0,1.0,0.96149415
225,14275,15/9-F-11 B,3387.1,1.0,0.97276706
226,14276,15/9-F-11 B,3387.2,1.0,0.9637285
227,14277,15/9-F-11 B,3387.3,1.0,0.98279214
228,14280,15/9-F-11 B,3387.6,1.0,0.98898536
229,14281,15/9-F-11 B,3387.7,1.0,1.0180207
230,14282,15/9-F-11 B,3387.8,1.0,1.0113814
231,14283,15/9-F-11 B,3387.9,1.0,0.99440426
232,14284,15/9-F-11 B,3388.0,1.0,0.99786174
233,14285,15/9-F-11 B,3388.1,1.0,1.0090156
234,14286,15/9-F-11 B,3388.2,1.0,1.011083
235,14287,15/9-F-11 B,3388.3,1.0,1.0048168
236,14288,15/9-F-11 B,3388.4,1.0,1.0014318
237,14289,15/9-F-11 B,3388.5,1.0,0.9894243
238,14296,15/9-F-11 B,3389.2,1.0,1.0467627
239,14297,15/9-F-11 B,3389.3,1.0,1.0463874
240,14298,15/9-F-11 B,3389.4,1.0,1.0289034
241,14299,15/9-F-11 B,3389.5,1.0,1.0318573
242,14300,15/9-F-11 B,3389.6,1.0,1.0337658
243,14303,15/9-F-11 B,3389.9,1.0,1.0474575
244,14304,15/9-F-11 B,3390.0,1.0,1.0662496
245,14305,15/9-F-11 B,3390.1,1.0,1.074342
246,14311,15/9-F-11 B,3390.7,1.0,1.028671
247,14312,15/9-F-11 B,3390.8,1.0,1.0055407
248,14313,15/9-F-11 B,3390.9,1.0,0.99596655
249,14314,15/9-F-11 B,3391.0,1.0,0.97250766
250,14315,15/9-F-11 B,3391.1,1.0,0.9548959
251,14316,15/9-F-11 B,3391.2,1.0,0.9665502
252,14317,15/9-F-11 B,3391.3,1.0,0.9529343
253,14318,15/9-F-11 B,3391.4,1.0,0.92955035
