,wellName,MD,CALI,GR,RHOB,NPHI,RACEHM_l10,RACELM_l10,RPCEHM_l10,RPCELM_l10
2856,15/9-F-1 B,3305.5,8.6975,57.3517,2.6912,0.1251,0.7094310950476499,0.751725489390987,0.7792572917083811,0.7660334173958979
21575,15/9-F-11 B,4117.1,8.672,15.845999999999998,2.253,0.179,0.8225602715959401,0.6658622064637792,0.8110385086042159,0.780821175853473
15117,15/9-F-11 B,3471.3,8.578,17.576,2.188,0.192,1.5105584141504382,1.2234440198096155,1.6937005739639597,1.561459171241916
24388,15/9-F-11 B,4398.4,8.761000000000001,36.433,2.633,0.175,0.1354506993455137,0.1804126328383238,0.5519376953648372,0.2801228963023076
5606,15/9-F-1 C,3380.4,8.5569,46.3727,2.5524,0.1302,0.2941795412924859,0.23108712058482275,0.5213081054870261,0.34611815720679784
15885,15/9-F-11 B,3548.1,8.625,63.239,2.423,0.192,0.8063156698081135,0.7355190588151711,0.7625285224469999,0.7895102040902543
9940,15/9-F-1 C,3813.8,8.5243,44.9074,2.2914,0.2079,0.694649064847641,0.7506626461340559,0.6881260399155434,0.6933663524254847
22561,15/9-F-11 B,4215.7,8.625,27.5,2.177,0.19399999999999998,1.4110470024560933,1.0634459531230331,1.6182259640475916,1.479676062868145
11351,15/9-F-1 C,3954.9,8.5243,24.8178,2.3941,0.152,0.9943171526696367,0.8309349397921648,1.0825556000673748,1.0421934172536218
11055,15/9-F-1 C,3925.3,8.5243,21.4814,2.1847,0.1995,0.818074062014428,0.7227572841258655,1.0852977153034153,0.9312137021207838
8462,15/9-F-1 C,3666.0,8.5243,44.1325,2.2443,0.2119,0.5008948293962365,0.5576274884268266,0.5009907561079946,0.5073430475999386
23188,15/9-F-11 B,4278.4,8.625,21.924,2.2319999999999998,0.163,1.3904758539378153,0.9906052114239194,1.769561935848059,1.440987751476157
7330,15/9-F-1 C,3552.8,8.5243,31.4925,2.1772,0.2201,1.0622660187854134,0.9675854137846714,1.1394729256068876,1.115670410230619
1196,15/9-F-1 A,3550.6,8.6015,39.1615,2.4479,0.1705,-0.1498440775779077,-0.1660246287200938,-0.0113518747642489,-0.08698131625203975
26386,15/9-F-11 B,4598.2,8.672,9.554,2.351,0.114,0.5549734583332399,0.6528263025610047,0.5496162395190853,0.5678494505731068
8736,15/9-F-1 C,3693.4,8.5243,46.9679,2.2721,0.2129,0.26107245139082275,0.4253059276703187,0.2741578492636798,0.2687651274478613
27453,15/9-F-11 B,4704.9,8.672,30.85,2.374,0.158,-0.043351420794796675,-0.06198090252378971,0.03422726077055066,-0.025949097207122605
8025,15/9-F-1 C,3622.3,8.5243,9.2821,2.1648,0.1617,1.7697309695637427,1.0626421420676337,1.9646998316157016,1.7143054452808735
21401,15/9-F-11 B,4099.7,8.703,64.598,2.485,0.226,0.5789828427027905,0.8015409061903184,0.5777215245090209,0.6059511575648729
14598,15/9-F-11 B,3419.4,8.578,88.89,2.562,0.255,0.31513031718360174,0.32159843046534387,0.44357587975025753,0.3504418565350612
25367,15/9-F-11 B,4496.3,8.672,29.35,2.3080000000000003,0.163,1.1813861950832174,1.0591088179135937,1.263233538439489,1.2142608667775419
1739,15/9-F-1 A,3604.9,8.7031,44.1809,2.5839,0.0947,0.2871968784662297,0.2354526912632187,0.3708090565454953,0.3159703454569177
24315,15/9-F-11 B,4391.1,8.703,58.371,2.521,0.214,0.1473671077937865,0.14332712999204641,0.15259407792746976,0.13481437032046015
14655,15/9-F-11 B,3425.1,8.625,86.459,2.55,0.28,0.24575935596727688,0.23274206272073686,0.35793484700045375,0.2538224387080733
10240,15/9-F-1 C,3843.8,8.6056,40.5277,2.5771,0.0943,1.0930362529451632,0.852803154379037,1.1549380049318965,1.06628864526571
24991,15/9-F-11 B,4458.7,8.726,61.007,2.5610000000000004,0.18600000000000003,0.23578087032756023,0.23502315949522354,0.2801228963023076,0.23426412437878932
24521,15/9-F-11 B,4411.7,8.75,42.626000000000005,2.432,0.217,0.1634595517699901,0.16524432612531087,0.026533264523296733,0.09898963940117732
14636,15/9-F-11 B,3423.2,8.625,85.475,2.522,0.282,0.252610340567373,0.25527250510330607,0.3839947894417328,0.2814878879400812
4723,15/9-F-1 C,3292.1,8.5569,59.4898,2.408,0.2337,0.1735941387546328,0.03826240710478427,0.4439666783745788,0.22052648352704268
8165,15/9-F-1 C,3636.3,8.5243,15.1361,2.2264,0.1609,0.982099290774663,0.7789467279686167,1.135749452211722,1.0316467558374227
